2025-10-17T22:06:46.262955 | test_3.xlsx | Unbekannt (66.7%) | 264 Zeilen
2025-10-17T22:07:06.057523 | test_5.xlsm | SuSa (100.0%) | 154 Zeilen
2025-10-17T22:07:06.068153 | test_5.xlsm | SuSa (100.0%) | 154 Zeilen
2025-10-17T22:07:06.078235 | test_5.xlsm | SuSa (66.7%) | 145 Zeilen
2025-10-17T22:07:06.084038 | test_5.xlsm | SuSa (66.7%) | 129 Zeilen
2025-10-17T22:07:21.272389 | Test_7.xlsm | SuSa (100.0%) | 134 Zeilen
2025-10-17T22:07:21.285945 | Test_7.xlsm | SuSa (100.0%) | 134 Zeilen
2025-10-17T22:07:21.298433 | Test_7.xlsm | SuSa (66.7%) | 125 Zeilen
2025-10-17T22:07:21.318048 | Test_7.xlsm | Unbekannt (40%) | 107 Zeilen
2025-10-17T22:07:38.306756 | Test_8.xlsm | SuSa (100.0%) | 73 Zeilen
2025-10-17T22:07:38.318033 | Test_8.xlsm | SuSa (100.0%) | 134 Zeilen
2025-10-17T22:07:38.330119 | Test_8.xlsm | Unbekannt (40%) | 139 Zeilen
2025-10-17T22:07:38.336282 | Test_8.xlsm | SuSa (66.7%) | 56 Zeilen
2025-10-17T22:08:15.024008 | Test_9.xlsx | SuSa (66.7%) | 233 Zeilen
2025-10-17T22:08:15.049012 | Test_9.xlsx | SuSa (66.7%) | 235 Zeilen
